name,star_rating,review_count,detail_url,location,categories
Firehouse Subs,2.9,68,https://www.yelp.com/adredir?ad_business_id=221gBXITHcO7Slr-1cXGNA&amp;campaign_id=213770214&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffirehouse-subs-indianapolis-2&amp;request_id=28b9d9d6a5f5d55e&amp;signature=d8e9ec04de31fc73ca3fc67a6056bcd338692f34c3423170eaed9d3478837601&amp;slot=0,,Delis;Sandwiches;Fast Food
Shapiro’s Delicatessen,4.0,1071,https://www.yelp.com/adredir?ad_business_id=DTxB12bQaZ1m-nLeXWX2rw&amp;campaign_id=105466401&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fshapiros-delicatessen-indianapolis-2&amp;request_id=28b9d9d6a5f5d55e&amp;signature=d90ed9344fafe75f24ecb4c9b036eb8c2a1b6bde338ea800304b0ab6104a2a38&amp;slot=1,Pogue's Run,Sandwiches;Desserts;Delis
Thai Charm,4.7,93,https://www.yelp.com/adredir?ad_business_id=Vth-A3FT-quUqf18g88nMg&amp;campaign_id=207975644&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthai-charm-indianapolis&amp;request_id=28b9d9d6a5f5d55e&amp;signature=4e1ed216d13ab2c882f069f4d7e2eb543f0c4d607d48ed00df2b965aadea76ca&amp;slot=2,,Thai
Fernando’s Mexican &amp; Brazilian Cuisine - Massachusetts Ave,4.6,26,https://www.yelp.com/biz/fernandos-mexican-and-brazilian-cuisine-massachusetts-ave-indianapolis?osq=Restaurants,Chatham Arch,Brazilian;Mexican
Baby’s,4.1,568,https://www.yelp.com/biz/babys-indianapolis-2?osq=Restaurants,Herron Morton Place,American;Bars
GoldLeaf Savory &amp; Sweet,4.8,149,https://www.yelp.com/biz/goldleaf-savory-and-sweet-indianapolis?osq=Restaurants,SoBro,Beer Bar;Wine Bars;Wraps
Salt on Mass,4.2,636,https://www.yelp.com/biz/salt-on-mass-indianapolis?osq=Restaurants,Renaissance Place,Seafood;Cocktail Bars;Steakhouses
Smash’d Burger Bar,4.5,141,https://www.yelp.com/biz/smashd-burger-bar-indianapolis?osq=Restaurants,,Burgers;Salad;Sandwiches
Beholder,4.2,231,https://www.yelp.com/biz/beholder-indianapolis-2?osq=Restaurants,,New American;Wine Bars
Geraldine’s Supper Club &amp; Lounge,4.2,472,https://www.yelp.com/biz/geraldines-supper-club-and-lounge-indianapolis?osq=Restaurants,Fountain Square,Steakhouses;Cocktail Bars;Seafood
Sahm’s Tavern &amp; Sports Bar,4.4,47,https://www.yelp.com/biz/sahms-tavern-and-sports-bar-indianapolis?osq=Restaurants,,American;Sports Bars;Cocktail Bars
Milktooth,4.2,1709,https://www.yelp.com/biz/milktooth-indianapolis?osq=Restaurants,Fletcher Place,Breakfast &amp; Brunch;Cafes
Duke’s Indy,4.4,91,https://www.yelp.com/biz/dukes-indy-indianapolis-2?osq=Restaurants,,Music Venues;Bars;Comfort Food
Firehouse Subs,2.9,68,https://www.yelp.com/adredir?ad_business_id=221gBXITHcO7Slr-1cXGNA&campaign_id=213770214&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffirehouse-subs-indianapolis-2&request_id=28b9d9d6a5f5d55e&signature=d8e9ec04de31fc73ca3fc67a6056bcd338692f34c3423170eaed9d3478837601&slot=0,,Delis;Sandwiches;Fast Food
Shapiro’s Delicatessen,4.0,1071,https://www.yelp.com/adredir?ad_business_id=DTxB12bQaZ1m-nLeXWX2rw&campaign_id=105466401&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fshapiros-delicatessen-indianapolis-2&request_id=28b9d9d6a5f5d55e&signature=d90ed9344fafe75f24ecb4c9b036eb8c2a1b6bde338ea800304b0ab6104a2a38&slot=1,Pogue's Run,Sandwiches;Desserts;Delis
Thai Charm,4.7,93,https://www.yelp.com/adredir?ad_business_id=Vth-A3FT-quUqf18g88nMg&campaign_id=207975644&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthai-charm-indianapolis&request_id=28b9d9d6a5f5d55e&signature=4e1ed216d13ab2c882f069f4d7e2eb543f0c4d607d48ed00df2b965aadea76ca&slot=2,,Thai
Fernando’s Mexican & Brazilian Cuisine - Massachusetts Ave,4.6,26,https://www.yelp.com/biz/fernandos-mexican-and-brazilian-cuisine-massachusetts-ave-indianapolis?osq=Restaurants,Chatham Arch,Brazilian;Mexican
GoldLeaf Savory & Sweet,4.8,149,https://www.yelp.com/biz/goldleaf-savory-and-sweet-indianapolis?osq=Restaurants,SoBro,Beer Bar;Wine Bars;Wraps
Geraldine’s Supper Club & Lounge,4.2,472,https://www.yelp.com/biz/geraldines-supper-club-and-lounge-indianapolis?osq=Restaurants,Fountain Square,Steakhouses;Cocktail Bars;Seafood
Sahm’s Tavern & Sports Bar,4.4,47,https://www.yelp.com/biz/sahms-tavern-and-sports-bar-indianapolis?osq=Restaurants,,American;Sports Bars;Cocktail Bars
Popeyes Louisiana Kitchen,0.0,40,https://www.yelp.com/adredir?ad_business_id=7cwo9HROlj6UQFTlZJomlw&amp;campaign_id=210230783&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpopeyes-louisiana-kitchen-indianapolis-7&amp;request_id=07b0d55c0d63b297&amp;signature=25f952ecd25cfad53c637b2c662ee86e1608d88175eb363aa1fba5a0d4cfda2b&amp;slot=0,,Chicken Wings;Sandwiches;Fast Food
Camila’s Mexican Restaurant,3.8,15,https://www.yelp.com/adredir?ad_business_id=i6-K-YiJ4v8HfArD5sy-Mg&amp;campaign_id=204286330&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcamilas-mexican-restaurant-greenwood&amp;request_id=07b0d55c0d63b297&amp;signature=799aa6d7f7d81ae79c97d4a0bf424bcfbffebce6a6342d4ee4701b15f43d98a7&amp;slot=1,,Mexican
Carrabba’s Italian Grill,3.9,148,https://www.yelp.com/adredir?ad_business_id=VbdSOvwXgV5W2BIgrS79Qw&amp;campaign_id=213955127&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcarrabbas-italian-grill-southport-2&amp;request_id=07b0d55c0d63b297&amp;signature=6bf2036413829c38a5b31686cc3d7439e6c369483c986f63a25187ceab066044&amp;slot=2,,Seafood;Italian
1933 Lounge,4.5,235,https://www.yelp.com/biz/1933-lounge-indianapolis?osq=Restaurants,Mile Square,Lounges;American;Cocktail Bars
Mama Carolla’s,4.4,1202,https://www.yelp.com/biz/mama-carollas-indianapolis?osq=Restaurants,SoBro,Italian
Flatiron,4.3,53,https://www.yelp.com/biz/flatiron-indianapolis?osq=Restaurants,Renaissance Place,American;Seafood;Steakhouses
Nesso,4.5,322,https://www.yelp.com/biz/nesso-indianapolis-3?osq=Restaurants,Mile Square,Italian;Seafood;Pasta Shops
Magdalena,4.5,48,https://www.yelp.com/biz/magdalena-indianapolis?osq=Restaurants,Fountain Square,Cocktail Bars;Wine Bars;Seafood
Tavern at the Point,4.2,282,https://www.yelp.com/biz/tavern-at-the-point-indianapolis?osq=Restaurants,Mile Square,"New American;Beer, Wine &amp; Spirits"
NY Gourmet Deli,4.9,76,https://www.yelp.com/biz/ny-gourmet-deli-indianapolis-2?osq=Restaurants,Meridian Kessler,Sandwiches;Delis
Tony’s of Indianapolis,4.5,498,https://www.yelp.com/biz/tonys-of-indianapolis-indianapolis?osq=Restaurants,Mile Square,Steakhouses;Seafood;Bars
Encanto Alebrije,4.4,17,https://www.yelp.com/biz/encanto-alebrije-indianapolis?osq=Restaurants,Mile Square,Mexican;Cocktail Bars
Tupelo Honey Southern Kitchen &amp; Bar,4.1,450,https://www.yelp.com/biz/tupelo-honey-indianapolis-4?osq=Restaurants,Mile Square,Southern;Cocktail Bars;Breakfast &amp; Brunch
Popeyes Louisiana Kitchen,0.0,40,https://www.yelp.com/adredir?ad_business_id=7cwo9HROlj6UQFTlZJomlw&campaign_id=210230783&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpopeyes-louisiana-kitchen-indianapolis-7&request_id=07b0d55c0d63b297&signature=25f952ecd25cfad53c637b2c662ee86e1608d88175eb363aa1fba5a0d4cfda2b&slot=0,,Chicken Wings;Sandwiches;Fast Food
Camila’s Mexican Restaurant,3.8,15,https://www.yelp.com/adredir?ad_business_id=i6-K-YiJ4v8HfArD5sy-Mg&campaign_id=204286330&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcamilas-mexican-restaurant-greenwood&request_id=07b0d55c0d63b297&signature=799aa6d7f7d81ae79c97d4a0bf424bcfbffebce6a6342d4ee4701b15f43d98a7&slot=1,,Mexican
Carrabba’s Italian Grill,3.9,148,https://www.yelp.com/adredir?ad_business_id=VbdSOvwXgV5W2BIgrS79Qw&campaign_id=213955127&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcarrabbas-italian-grill-southport-2&request_id=07b0d55c0d63b297&signature=6bf2036413829c38a5b31686cc3d7439e6c369483c986f63a25187ceab066044&slot=2,,Seafood;Italian
Tupelo Honey Southern Kitchen & Bar,4.1,450,https://www.yelp.com/biz/tupelo-honey-indianapolis-4?osq=Restaurants,Mile Square,Southern;Cocktail Bars;Breakfast & Brunch
Dave &amp; Buster’s Greenwood,2.8,52,https://www.yelp.com/adredir?ad_business_id=rlgpNDhdB5LwtOWoB0G2nA&amp;campaign_id=204174032&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdave-and-busters-greenwood-greenwood-2&amp;request_id=9bb13f6f38c5e8ac&amp;signature=1780284ab6477195f153f03ea8167971eeda0c86fcb6195305c4291aff2c5bcf&amp;slot=0,,American;Sports Bars;Arcades
Carrabba’s Italian Grill,3.9,148,https://www.yelp.com/adredir?ad_business_id=VbdSOvwXgV5W2BIgrS79Qw&amp;campaign_id=213955127&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcarrabbas-italian-grill-southport-2&amp;request_id=9bb13f6f38c5e8ac&amp;signature=c893b8db083f3d8281cddbc2d9f386c73ff5b24e6848658895e70f578569bed4&amp;slot=1,,Seafood;Italian
Half Liter Beer &amp; BBQ Hall,4.3,655,https://www.yelp.com/adredir?ad_business_id=WQ1oZ11HbYL7K7kj62ttAw&amp;campaign_id=163020629&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhalf-liter-beer-and-bbq-hall-indianapolis-4&amp;request_id=9bb13f6f38c5e8ac&amp;signature=2aab7b7f000dc03c63353570914c387850aeaddd25cfe50536ad22ed449e456c&amp;slot=2,SoBro,Barbeque;Smokehouse
World Famous Hotboys,4.5,288,https://www.yelp.com/biz/world-famous-hotboys-indianapolis-2?osq=Restaurants,Fountain Square,Chicken Shop;Bars;American
Dusk Lounge,4.0,15,https://www.yelp.com/biz/dusk-lounge-indianapolis?osq=Restaurants,Mile Square,Mediterranean;Lounges
Vida,4.7,525,https://www.yelp.com/biz/vida-indianapolis-3?osq=Restaurants,Lockerbie Square,New American;Seafood
CAVA,4.6,17,https://www.yelp.com/biz/cava-indianapolis-2?osq=Restaurants,,Mediterranean
Bakersfield Mass Ave,4.3,2043,https://www.yelp.com/biz/bakersfield-indianapolis?osq=Restaurants,Mile Square,Bars;Tacos
Maialina,4.5,423,https://www.yelp.com/biz/maialina-indianapolis?osq=Restaurants,Fountain Square,Italian;Bars
Vicino,4.1,184,https://www.yelp.com/biz/vicino-indianapolis?osq=Restaurants,Mile Square,Italian
Gather 22,4.4,171,https://www.yelp.com/biz/gather-22-indianapolis?osq=Restaurants,Herron Morton Place,Coffee &amp; Tea;Pizza;Cocktail Bars
His Place Eatery,4.5,790,https://www.yelp.com/biz/his-place-eatery-indianapolis-12?osq=Restaurants,,Southern;Soul Food;Barbeque
Love Handle,4.2,393,https://www.yelp.com/biz/love-handle-indianapolis?osq=Restaurants,Chatham Arch,Delis;Sandwiches;Breakfast &amp; Brunch
Applebee’s Grill + Bar,0.0,95,https://www.yelp.com/adredir?ad_business_id=w3V88RiAZWZT_gb1f2hpjw&amp;campaign_id=212599193&amp;click_origin=search_results&amp;placement=below_search&amp;placement_slot=1&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-speedway&amp;request_id=9bb13f6f38c5e8ac&amp;signature=ed4a6c40c364cb8d18f999830e7e94432fd72b323a0a30fe8bc50a76ad4a874b&amp;slot=0,,American;Sports Bars;Burgers
Dave & Buster’s Greenwood,2.8,52,https://www.yelp.com/adredir?ad_business_id=rlgpNDhdB5LwtOWoB0G2nA&campaign_id=204174032&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdave-and-busters-greenwood-greenwood-2&request_id=9bb13f6f38c5e8ac&signature=1780284ab6477195f153f03ea8167971eeda0c86fcb6195305c4291aff2c5bcf&slot=0,,American;Sports Bars;Arcades
Carrabba’s Italian Grill,3.9,148,https://www.yelp.com/adredir?ad_business_id=VbdSOvwXgV5W2BIgrS79Qw&campaign_id=213955127&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcarrabbas-italian-grill-southport-2&request_id=9bb13f6f38c5e8ac&signature=c893b8db083f3d8281cddbc2d9f386c73ff5b24e6848658895e70f578569bed4&slot=1,,Seafood;Italian
Half Liter Beer & BBQ Hall,4.3,655,https://www.yelp.com/adredir?ad_business_id=WQ1oZ11HbYL7K7kj62ttAw&campaign_id=163020629&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhalf-liter-beer-and-bbq-hall-indianapolis-4&request_id=9bb13f6f38c5e8ac&signature=2aab7b7f000dc03c63353570914c387850aeaddd25cfe50536ad22ed449e456c&slot=2,SoBro,Barbeque;Smokehouse
Applebee’s Grill + Bar,0.0,95,https://www.yelp.com/adredir?ad_business_id=w3V88RiAZWZT_gb1f2hpjw&campaign_id=212599193&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-speedway&request_id=9bb13f6f38c5e8ac&signature=ed4a6c40c364cb8d18f999830e7e94432fd72b323a0a30fe8bc50a76ad4a874b&slot=0,,American;Sports Bars;Burgers
Topgolf,3.8,539,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&amp;campaign_id=213171001&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&amp;request_id=aa1fad2467e8c254&amp;signature=7d6a4bc8b9cf61de45342e434cd46b1c4efa2badb4b4fd4a13ad61f4809330db&amp;slot=0,,Golf;Venues &amp; Event Spaces;Bars
Bibibop,4.0,3,https://www.yelp.com/adredir?ad_business_id=mdcmXKDEb1JpJ4Yv8W80AQ&amp;campaign_id=214240883&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbibibop-zionsville&amp;request_id=aa1fad2467e8c254&amp;signature=f142f9df415b8ebe843b0c30bd4cdb737897af388283580366262f09d57118a9&amp;slot=1,,Fast Food;Korean
Don Juan Taqueria,4.7,151,https://www.yelp.com/adredir?ad_business_id=_tvR2q9UJmFAxf7FE83eaw&amp;campaign_id=213853602&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdon-juan-taqueria-indianapolis&amp;request_id=aa1fad2467e8c254&amp;signature=4c3d7d7b70597bf26c108bbc335054c3deae3581564645ef9daafebfa2597015&amp;slot=2,,Latin American;New Mexican Cuisine;Tacos
The Garage Food Hall,4.6,428,https://www.yelp.com/biz/the-garage-food-hall-indianapolis-2?osq=Restaurants,Chatham Arch,Food Court
Strange Bird,4.5,355,https://www.yelp.com/biz/strange-bird-indianapolis?osq=Restaurants,,Tiki Bars;Cocktail Bars;Ramen
Daisy Bar,5.0,5,https://www.yelp.com/biz/daisy-bar-indianapolis?osq=Restaurants,,Coffee &amp; Tea;Breakfast &amp; Brunch;Cocktail Bars
The Social View,4.2,56,https://www.yelp.com/biz/the-social-view-indianapolis?osq=Restaurants,Mile Square,Burgers;Cocktail Bars;Sandwiches
Root &amp; Bone Indianapolis,4.4,735,https://www.yelp.com/biz/root-and-bone-indianapolis-indianapolis?osq=Restaurants,Meridian Kessler,American
Modita,4.4,425,https://www.yelp.com/biz/modita-indianapolis-2?osq=Restaurants,Chatham Arch,Sushi Bars;Noodles;Pan Asian
Yard House,4.0,1150,https://www.yelp.com/biz/yard-house-indianapolis-3?osq=Restaurants,Mile Square,New American;Vegetarian;Bars
Shin Dig,4.4,111,https://www.yelp.com/biz/shin-dig-indianapolis?osq=Restaurants,,Chicken Wings;Pizza
Union 50,4.4,1012,https://www.yelp.com/biz/union-50-indianapolis-2?osq=Restaurants,Renaissance Place,Gastropubs;New American;Music Venues
Tinker Street,4.6,999,https://www.yelp.com/biz/tinker-street-indianapolis?osq=Restaurants,Old Northside,Wine Bars;New American
Zaxbys,3.1,77,https://www.yelp.com/adredir?ad_business_id=JpeQ0CqPAKejAun64bjrfw&amp;campaign_id=213232563&amp;click_origin=search_results&amp;placement=below_search&amp;placement_slot=1&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzaxbys-greenwood-7&amp;request_id=aa1fad2467e8c254&amp;signature=2baf05049d5fd4ad3ca206200e83cb1d7b9d8b62d20012c34bbd6e327004c85e&amp;slot=0,,Southern;Chicken Shop;Tacos
Topgolf,3.8,539,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&campaign_id=213171001&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&request_id=aa1fad2467e8c254&signature=7d6a4bc8b9cf61de45342e434cd46b1c4efa2badb4b4fd4a13ad61f4809330db&slot=0,,Golf;Venues & Event Spaces;Bars
Bibibop,4.0,3,https://www.yelp.com/adredir?ad_business_id=mdcmXKDEb1JpJ4Yv8W80AQ&campaign_id=214240883&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbibibop-zionsville&request_id=aa1fad2467e8c254&signature=f142f9df415b8ebe843b0c30bd4cdb737897af388283580366262f09d57118a9&slot=1,,Fast Food;Korean
Don Juan Taqueria,4.7,151,https://www.yelp.com/adredir?ad_business_id=_tvR2q9UJmFAxf7FE83eaw&campaign_id=213853602&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdon-juan-taqueria-indianapolis&request_id=aa1fad2467e8c254&signature=4c3d7d7b70597bf26c108bbc335054c3deae3581564645ef9daafebfa2597015&slot=2,,Latin American;New Mexican Cuisine;Tacos
Root & Bone Indianapolis,4.4,735,https://www.yelp.com/biz/root-and-bone-indianapolis-indianapolis?osq=Restaurants,Meridian Kessler,American
Zaxbys,3.1,77,https://www.yelp.com/adredir?ad_business_id=JpeQ0CqPAKejAun64bjrfw&campaign_id=213232563&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzaxbys-greenwood-7&request_id=aa1fad2467e8c254&signature=2baf05049d5fd4ad3ca206200e83cb1d7b9d8b62d20012c34bbd6e327004c85e&slot=0,,Southern;Chicken Shop;Tacos
Topgolf,3.8,539,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&amp;campaign_id=213171001&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&amp;request_id=ddae47fc7cc01220&amp;signature=6f13ca2d4d04cac9f3eb5bd2ff30996fcf8abb2d464bfb62f59229066a8d3aeb&amp;slot=0,,Pool &amp; Billiards;New American;Sports Bars
Culver’s,3.9,27,https://www.yelp.com/adredir?ad_business_id=fzdl0UsQh90NPw5_MMYqoQ&amp;campaign_id=214064585&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fculvers-indianapolis-11&amp;request_id=ddae47fc7cc01220&amp;signature=1cfb140198b76289f5960e318ff244ffa1882cb97043bfedee8024603664a7b9&amp;slot=1,,Ice Cream &amp; Frozen Yogurt;Fast Food;Burgers
Dave &amp; Buster’s Greenwood,2.8,52,https://www.yelp.com/adredir?ad_business_id=rlgpNDhdB5LwtOWoB0G2nA&amp;campaign_id=204174032&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdave-and-busters-greenwood-greenwood-2&amp;request_id=ddae47fc7cc01220&amp;signature=168806a0e342305dd61b91ac42310aa7f7c38682e3738454b22da9e6aa4b8687&amp;slot=2,,American;Sports Bars;Arcades
The Fountain Room,4.4,456,https://www.yelp.com/biz/the-fountain-room-indianapolis?osq=Restaurants,Chatham Arch,Seafood;Steakhouses;Supper Clubs
The Eagle,4.5,3090,https://www.yelp.com/biz/the-eagle-indianapolis-13?osq=Restaurants,Mile Square,American;Southern
Livery - Indianapolis,4.6,1474,https://www.yelp.com/biz/livery-indianapolis-indianapolis-5?osq=Restaurants,Chatham Arch,Latin American;Empanadas;Tacos
Bluebeard,4.4,1365,https://www.yelp.com/biz/bluebeard-indianapolis?osq=Restaurants,Fletcher Place,New American;Venues &amp; Event Spaces;Cocktail Bars
Rosemary &amp; Olive,4.3,155,https://www.yelp.com/biz/rosemary-and-olive-indianapolis?osq=Restaurants,Chatham Arch,Italian
The Oakmont,4.3,517,https://www.yelp.com/biz/the-oakmont-indianapolis?osq=Restaurants,Mile Square,American;Breakfast &amp; Brunch;Bars
The Good Spot,4.7,72,https://www.yelp.com/biz/the-good-spot-indianapolis-2?osq=Restaurants,,Restaurants;Pubs
Almost Famous,4.5,67,https://www.yelp.com/biz/almost-famous-indianapolis?osq=Restaurants,Chatham Arch,Ticket Sales;Coffee &amp; Tea;Tapas Bars
BODHI,4.6,547,https://www.yelp.com/biz/bodhi-indianapolis-2?osq=Restaurants,Chatham Arch,Thai;Cocktail Bars;Gastropubs
Bocca,4.6,231,https://www.yelp.com/biz/bocca-indianapolis?osq=Restaurants,Herron Morton Place,Italian;Cocktail Bars
Subway,4.0,9,https://www.yelp.com/adredir?ad_business_id=iz-zkIOSaCsbOPMXB4rVPA&amp;campaign_id=214082803&amp;click_origin=search_results&amp;placement=below_search&amp;placement_slot=1&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsubway-indianapolis-206&amp;request_id=ddae47fc7cc01220&amp;signature=b333e5fcc4e87a8b6391690af42d9fc95400a38b654ab24996993cad7f3e17bc&amp;slot=0,Mile Square,Fast Food;Sandwiches
Topgolf,3.8,539,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&campaign_id=213171001&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&request_id=ddae47fc7cc01220&signature=6f13ca2d4d04cac9f3eb5bd2ff30996fcf8abb2d464bfb62f59229066a8d3aeb&slot=0,,Pool & Billiards;New American;Sports Bars
Culver’s,3.9,27,https://www.yelp.com/adredir?ad_business_id=fzdl0UsQh90NPw5_MMYqoQ&campaign_id=214064585&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fculvers-indianapolis-11&request_id=ddae47fc7cc01220&signature=1cfb140198b76289f5960e318ff244ffa1882cb97043bfedee8024603664a7b9&slot=1,,Ice Cream & Frozen Yogurt;Fast Food;Burgers
Dave & Buster’s Greenwood,2.8,52,https://www.yelp.com/adredir?ad_business_id=rlgpNDhdB5LwtOWoB0G2nA&campaign_id=204174032&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdave-and-busters-greenwood-greenwood-2&request_id=ddae47fc7cc01220&signature=168806a0e342305dd61b91ac42310aa7f7c38682e3738454b22da9e6aa4b8687&slot=2,,American;Sports Bars;Arcades
Rosemary & Olive,4.3,155,https://www.yelp.com/biz/rosemary-and-olive-indianapolis?osq=Restaurants,Chatham Arch,Italian
Subway,4.0,9,https://www.yelp.com/adredir?ad_business_id=iz-zkIOSaCsbOPMXB4rVPA&campaign_id=214082803&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsubway-indianapolis-206&request_id=ddae47fc7cc01220&signature=b333e5fcc4e87a8b6391690af42d9fc95400a38b654ab24996993cad7f3e17bc&slot=0,Mile Square,Fast Food;Sandwiches
